name,version,average,accuracy
C (gcc),11.2.1,2.129,0.7222222222222222
Rust,1.60.0,2.376,0.7222222222222222
C++ (g++),11.2.1,2.928,0.7222222222222222
Go,1.19.1,3.229,0.7222222222222222
Crystal,1.4.1,16.188000000000002,0.6666666666666666
PHP,8.1.11,35.153999999999996,0.7222222222222222
Python (PyPy),3.9.12,44.187,0.7222222222222222
Java,19.36,46.632,0.7222222222222222
Lua,5.4.4,52.852999999999994,0.6666666666666666
Javascript (nodejs),18.9.1,69.299,0.7222222222222222
Nim,1.6.6,69.479,0.6666666666666666
Swift,5.7,188.309,0.6666666666666666
Ruby,3.1.2,193.511,0.6666666666666666
Julia,1.6.7,259.02599999999995,0.6666666666666666
R,4.2.0,298.923,0.6666666666666666
Python (CPython),3.10.5,302.891,0.7222222222222222
Elixir,1.13.4,640.215,0.6111111111111112
