name,version,median,min,max,accuracy
Zig,0.15.2,35.23,35.19,35.26,8.4972
C++ (avx2),11.2.1,35.29,35.27,35.36,8.4969
C (clang),13.0.1,35.58,35.5,35.59,8.4972
D (LDC),1.28.1,35.56,35.51,35.59,8.4972
C++ (clang++),13.0.1,35.62,35.56,35.62,8.4972
Fortran 90,12.4.0,35.93,35.93,35.98,8.4972
Rust (nightly),1.93.0,36.34,36.33,36.46,8.497
C++ (g++),11.2.1,40.33,40.24,40.39,8.4968
C (gcc),11.2.1,40.38,40.35,40.39,8.4968
D (GDC),11.2.1,42.01,41.99,42.23,8.4968
Nim,1.6.6,43.91,43.8,44.12,8.4975
Julia (AOT compiled),1.8.2,61.62,61.58,62.14,8.4971
Swift (SIMD),5.7.3,93.15,92.73,93.59,8.4897
Rust,1.64.0,125.82,125.72,125.85,8.4972
OCaml,4.14.0,140.76,140.75,140.88,8.4972
Ada (gnat-gcc),11.2.1,141.91,141.86,141.99,8.4971
Scala,3.5.1,142.53,142.32,142.8,8.4972
Pony,0.58.0,143.38,143.22,143.5,8.4972
Pony(nightly),15.0.7,143.38,143.32,143.53,8.4972
Java graalvm,19.36,143.96,143.91,144.21,8.4972
Swift,5.8.1,144.5,144.37,144.73,8.4971
LuaJIT,2.1.0,148.13,147.96,156.79,8.4971
Go,1.19.1,152.9,152.1,153.08,8.4972
Crystal,1.6.2,153.83,153.04,154.68,8.4971
Common Lisp (SBCL),2.2.5,160.29,159.08,161.29,8.4972
Java,19.36,175.84,174.49,176.96,8.4972
Javascript (bun),0.5.0,193.4,193.3,197.19,8.4972
C#,9.0.203,197.27,196.91,197.76,8.4972
Javascript (nodejs),18.9.1,298.4,260.98,303.72,8.4972
Julia (ux4),1.8.2,292.62,284.97,296.65,5.2653
Julia,1.8.2,306.94,305.26,323.18,8.4971
Java (Vec Ops),19.36,345.32,331.63,349.66,8.4974
Python (PyPy),3.9.19,412.35,408.86,436.5,8.4972
R,4.2.0,517.13,517.01,518.23,8.4971
Haskell (GHC),9.8.4,537.37,537.25,537.44,8.4972
Clojure,1.11.1.1257,1247.39,1235.95,1255.33,8.4972
Lua,5.4.4,1347.69,1345.52,1350.37,8.4971
Elixir,1.13.4,2471.26,2456.21,2492.76,8.4326
PHP,8.1.22,2539.78,2503.67,2658.39,8.4972
Python (CPython),3.11.14,4365.15,4321.2,4888.66,8.4972
Ruby,3.1.5,10228.15,10189.76,10241.25,8.4971
Perl,5.34.2,11352.43,11245.84,11467.5,8.4971
Clojure (Babashka),1.12.212,22306.12,22290.31,22359.73,8.4972
